,place_name,place_link,place_page
82,낙산공원 제1전망광장,https://place.map.kakao.com/17558075,none
83,북한산국립공원 구기탐방지원센터,https://place.map.kakao.com/21025420,none
84,청와대 시화문,https://place.map.kakao.com/1867260181,none
85,낙산,https://place.map.kakao.com/25192446,none
86,칠궁뒷길,https://place.map.kakao.com/1090256580,https://www.opencheongwadae.kr/trail-course
87,종로5가곱창골목,https://place.map.kakao.com/26455447,none
88,북한산국립공원 비봉코스,https://place.map.kakao.com/21627107,http://www.knps.or.kr/front/portal/visit/visitCourseMain.do?parkId=121500&menuNo=7020092
89,북촌한옥청,https://place.map.kakao.com/171169970,none
90,창덕궁 낙선재,https://place.map.kakao.com/1639116021,https://www.cdg.go.kr/cms_for_cdg/show.jsp?show_no=42&check_no=8&c_relation=11&c_relation2=73
91,홍난파가옥,https://place.map.kakao.com/8159486,https://lanpa.co.kr/
92,청와대 연무관,https://place.map.kakao.com/1867087367,none
93,서울 둘레길 스탬프 8-3구간,https://place.map.kakao.com/137923852,none
94,국사당,https://place.map.kakao.com/8200383,http://tour.jongno.go.kr/tour/tour/indvdlz/view.do?nttId=27051&menuNo=2009
95,창의문안내소,https://place.map.kakao.com/25986426,https://tour.jongno.go.kr/tour/main/contents.do?menuNo=400767
96,전태일동상,https://place.map.kakao.com/17384206,none
97,삼청동길,https://place.map.kakao.com/12699510,none
98,부암동백석동천,https://place.map.kakao.com/12776878,"http://www.cha.go.kr/korea/heritage/search/Culresult_Db_View.jsp?mc=NS_04_03_01&VdkVgwKey=15,00360000,11"
99,경복궁 향원정,https://place.map.kakao.com/8610929,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?pageNo=1_1_2_0&ccbaCpno=1121117610000
100,경복궁 신무문,https://place.map.kakao.com/7975638,http://www.royalpalace.go.kr/content/data/data_03.asp
101,황학정,https://place.map.kakao.com/8623102,http://www.hwanghakjeong.org/
102,향로봉,https://place.map.kakao.com/8148230,none
103,인왕산둘레길,https://place.map.kakao.com/26564580,none
104,홍건익가옥,https://place.map.kakao.com/1134329840,https://www.instagram.com/seoul.hanok/
105,한국천주교회창립터 표지석,https://place.map.kakao.com/1760146954,none
106,사모바위,https://place.map.kakao.com/7915543,none
107,비천당,https://place.map.kakao.com/17565788,none
108,경희궁 흥화문,https://place.map.kakao.com/10166256,none
109,청와대 영빈문,https://place.map.kakao.com/1867760198,none
110,인왕산 기차바위,https://place.map.kakao.com/15166737,none
111,형제봉,https://place.map.kakao.com/8665653,none
